,Book_Name,Author,Rating,Score,Votes,Average_Rating
80,One Flew Over the Cuckoo’s Nest,Ken Kesey,732469,379127,4290,4.2
81,Anna Karenina,Leo Tolstoy,848156,370142,4054,4.09
82,My Sister’s Keeper,Jodi Picoult,1218291,366945,4037,4.1
83,The Brothers Karamazov,Fyodor Dostoevsky,332349,348640,3841,4.37
84,A Tree Grows in Brooklyn,Betty  Smith,465688,339458,3732,4.29
85,A Clockwork Orange,Anthony Burgess,712146,335969,3781,4.0
86,The Road,Cormac McCarthy,904587,329069,3613,3.99
87,And Then There Were None,Agatha Christie,1356203,325208,3576,4.28
88,To Kill a Mockingbird,Harper Lee,6124177,314611,3395,4.26
89,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1525673,310316,3453,4.02
90,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,644608,307857,3309,4.11
91,It,Stephen King,1110952,307466,3308,4.24
92,Siddhartha,Hermann Hesse,771426,306508,3418,4.07
93,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,629252,304339,3398,4.14
94,"The Shining (The Shining, #1)",Stephen King,1489114,303928,3352,4.27
95,The Complete Stories and Poems,Edgar Allan Poe,249751,299838,3390,4.39
96,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,589152,294900,3295,4.02
97,Don Quixote,Miguel de Cervantes Saavedra,270734,292933,3323,3.9
98,The Poisonwood Bible,Barbara Kingsolver,743806,287325,3157,4.1
99,The Old Man and the Sea,Ernest Hemingway,1148484,286757,3288,3.8
100,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,3695671,273140,3077,4.57
101,Atlas Shrugged,Ayn Rand,390167,258880,2846,3.69
102,"The Notebook (The Notebook, #1)",Nicholas Sparks,1691189,256797,2889,4.15
103,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,327357,251088,2942,4.36
104,Fahrenheit 451,Ray Bradbury,2417626,246355,2704,3.97
105,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,3275100,231193,2649,4.58
106,"Moby-Dick or, The Whale",Herman Melville,560808,226366,2599,3.54
107,A Prayer for Owen Meany,John Irving,320931,219169,2409,4.24
108,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,830258,196563,2158,4.31
109,The Stranger,Albert Camus,1094714,190298,2163,4.02
110,The Secret Life of Bees,Sue Monk Kidd,1291298,187447,2147,4.09
111,The Red Tent,Anita Diamant,598800,185459,2077,4.2
112,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,3929019,183114,2163,4.43
113,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,961674,178066,1891,4.52
114,The Master and Margarita,Mikhail Bulgakov,353454,173457,1891,4.29
115,The Metamorphosis,Franz Kafka,1058039,171493,1998,3.86
116,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,3974167,166163,1936,4.29
117,Middlesex,Jeffrey Eugenides,639193,160874,1798,4.03
118,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,1777135,160441,1829,3.95
